Survey,Question Number,Variable,Question,Short
EWCSR2,11a,q11c1,What does your remuneration include? Basic fixed salary/wage,Basic salary
EWCSR2,11b,q11c2,What does your remuneration include? Piece rate or productivity payments,Piece / productivity pay
EWCSR2,11c,q11c3,What does your remuneration include? Extra payments for additional hours of work,Overtime pay
EWCSR2,11d,q11c4,"What does your remuneration include? Extra payments compensating for special working hours, such as nightwork, weekend work",Night / weekend pay
EWCSR2,11e,q11c5,What does your remuneration include? Extra payments compensating for poor working conditions,Hazard / conditions pay
EWCSR2,11f,q11c6,What does your remuneration include? Other,Other pay components
EWCSR2,12,q12r,"How many hours do you usually work per week, in your main job?",Weekly work hours
EWCSR2,13,q13r,How many minutes per day do you normally spend traveling from home to work and back in total?,Daily commuting time
EWCSR2,14a,q14a_n,"How often are you exposed at work to: Vibrations from hand tools, machinery, etc.?",Exposure: vibrations
EWCSR2,14b,q14b_n,How often are you exposed at work to: Noise so loud that you would have to raise your voice to talk to people?,Exposure: loud noise
EWCSR2,14c,q14c_n,How often are you exposed at work to: High temperature which makes you perspire even when not working?,Exposure: high temperature
EWCSR2,14d,q14d_n,How often are you exposed at work to: Low temperatures whether indoors or outdoors?,Exposure: low temperature
EWCSR2,14e,q14e_n,"How often are you exposed at work to: Breathing in vapours, fumes, dust, or dangerous substances such as chemicals, infectious materials, etc.?",Exposure: fumes / dust
EWCSR2,14f,q14f,How often are you exposed at work to: Handling or touching dangerous products or substances?,Exposure: dangerous substances
EWCSR2,14g,q14g,"How often are you exposed at work to: Radiation such as X rays, radioactive radiation, welding light, laser beams?",Exposure: radiation
EWCSR2,16a,q15a_n,How often does your main paid job involve: Painful or tiring positions?,Physical strain
EWCSR2,16b,q15b_n,How often does your main paid job involve: Carrying or moving heavy loads?,Heavy lifting
EWCSR2,16c,q15c,How often does your main paid job involve: Short repetitive tasks of less than 10 minutes?,Short repetitive tasks
EWCSR2,16d,q15d,How often does your main paid job involve: Repetitive hand or arm movements?,Repetitive movements
EWCSR2,16e,q15e,How often does your main paid job involve: Wearing personal protective equipment?,Use of PPE
EWCSR2,16f,q15f,"How often does your main paid job involve: Working with computers: PC's, network, mainframe?",Computer work
EWCSR2,16g,q15g,How often does your main paid job involve: Working at very high speed?,High-speed work
EWCSR2,16h,q15h,How often does your main paid job involve: Working to tight deadlines?,Tight deadlines
EWCSR2,16i,q15i,How often does your main paid job involve: Dealing directly with people who are not employees at your workplace?,Dealing with the public
EWCSR2,16j,q15j,How often does your main paid job involve: Working at home?,Working from home
EWCSR2,16k,q16,"Would you say you are very well informed... about the risks resulting from the use of materials, instruments or products which you handle in your job?",Awareness of job risks
EWCSR2,17a,q17c1,"Which, if any, of the following working conditions can you adjust personally: The temperature?",Can adjust temperature
EWCSR2,17b,q17c2,"Which, if any, of the following working conditions can you adjust personally: The lighting?",Can adjust lighting
EWCSR2,17c,q17c3,"Which, if any, of the following working conditions can you adjust personally: The ventilation?",Can adjust ventilation
EWCSR2,17d,q17c4,"Which, if any, of the following working conditions can you adjust personally: The position of your desk, bench or workstation?",Can adjust workstation
EWCSR2,17e,q17c5,"Which, if any, of the following working conditions can you adjust personally: The position of your seat?",Can adjust seat
EWCSR2,17f,q17c6,"Which, if any, of the following working conditions can you adjust personally: The instrument(s) or equipment you use?",Can adjust equipment
EWCSR2,18,q18ar,"Normally, how many times a month do you typically work at night, say for at least 2 hours between 10.00pm and 05.00am?",Night work frequency
EWCSR2,19b,q18br,How many times a month do you typically work on Sundays?,Sunday work
EWCSR2,19c,q18cr,How many times a month do you typically work on Saturdays?,Saturday work
EWCSR2,19,q19_n,"Do you work shifts (that is sometimes working mornings, sometimes afternoons or sometimes nights) or irregular hours, or not?",Shift / irregular work
EWCSR2,20a,q20a,For each of the following statements please answer Yes or No: You can get assistance from colleagues if required?,Help from colleagues
EWCSR2,20b,q20b,For each of the following statements please answer Yes or No: You can take your break when you wish?,Flexible breaks
EWCSR2,20c,q20c,For each of the following statements please answer Yes or No: You are free to decide when to take holidays or days off?,Control over time off
EWCSR2,20d,q20d,For each of the following statements please answer Yes or No: You have fixed starting and finishing times every day?,Fixed working hours
EWCSR2,20e,q20e,For each of the following statements please answer Yes or No: You have enough time to get the job done?,Enough time
EWCSR2,20f,q20f,For each of the following statements please answer Yes or No: You have a secure job?,Job security
EWCSR2,21a,q21a,"On the whole, is your pace of work dependent, or not on: The work done by colleagues?",Pace depends on colleagues
EWCSR2,21b,q21b,"On the whole, is your pace of work dependent, or not on: Direct demands from people such as customers, passengers, pupils, patients etc.?",Pace depends on clients
EWCSR2,21c,q21c,"On the whole, is your pace of work dependent, or not on: Production norms?",Pace depends on targets
EWCSR2,21d,q21d,"On the whole, is your pace of work dependent, or not on: Automatic speed of a machine or moving of a product?",Pace depends on machines
EWCSR2,21e,q21e,"On the whole, is your pace of work dependent, or not on: The direct control of your boss?",Pace depends on boss
EWCSR2,22a,q24a,"Are you able, or not, to choose or change: Your order of tasks?",Control over task order
EWCSR2,22b,q24b,"Are you able, or not, to choose or change: Your methods of work?",Control over work methods
EWCSR2,22c,q24c,"Are you able, or not, to choose or change: Your speed or rate of work?",Control over work speed
EWCSR2,23a,q23a,"Does your main paid job involve, or not: Meeting precise quality standards?",Must meet quality standards
EWCSR2,23b,q23b,"Does your main paid job involve, or not: Assessing the quality of your own work?",Self-assessment
EWCSR2,23c,q23c,"Does your main paid job involve, or not: Solving unforeseen problems on your work?",Problem solving
EWCSR2,23d,q23d,"Does your main paid job involve, or not: Deciding, possibly with colleagues, on departmental issues such as the division of tasks, staff replacement, production objectives, timetables, etc.?",Participation in decisions
EWCSR2,23e,q23e,"Does your main paid job involve, or not: Rotating tasks between yourself and colleagues?",Task rotation
EWCSR2,23f,q23f,"Does your main paid job involve, or not: Monotonous tasks?",Monotonous work
EWCSR2,23g,q23g,"Does your main paid job involve, or not: Complex tasks?",Complex work
EWCSR2,23h,q23h,"Does your main paid job involve, or not: Learning new things?",Learning on the job
EWCSR2,24,q24,How well do you think your skills match the demands imposed on you by your job?,Skills–job match
EWCSR2,25,q25r,"Over the last 12 months, have you undergone training paid for or provided by your employer to improve your skills or not?",Employer training
EWCSR2,26a,q26a_n,"Over the past 12 months, have you, or not: Had a frank discussion with your boss about your work performance?",Performance discussion
EWCSR2,26b,q26b_n,"Over the past 12 months, have you, or not: Been consulted about changes in the Organisation of work and/or your working conditions?",Consultation on changes
EWCSR2,26c,q26c,"Over the past 12 months, have you, or not: Discussed work-related problems with your boss?",Discussed problems with boss
EWCSR2,26d,q26d,"Over the past 12 months, have you, or not: Discussed work-related problems with your colleagues?",Discussed problems with colleagues
EWCSR2,26e,q26e,"Over the past 12 months, have you, or not: Discussed work-related problems with employee representative?",Discussed problems with reps
EWCSR2,27a,q27a,"Over the past 12 months, when at work, have you, or have you not, been subjected to: Physical violence?",Workplace violence
EWCSR2,27b,q27b,"Over the past 12 months, when at work, have you, or have you not, been subjected to: Intimidation?",Workplace intimidation
EWCSR2,27c,q27c,"Over the past 12 months, when at work, have you, or have you not, been subjected to: Sexual discrimination?",Sexual discrimination
EWCSR2,27d,q27d,"Over the past 12 months, when at work, have you, or have you not, been subjected to: Unwanted sexual attention?",Sexual harassment
EWCSR2,27e,q27e,"Over the past 12 months, when at work, have you, or have you not, been subjected to: Age discrimination?",Age discrimination
EWCSR2,27f,q27f,"Over the past 12 months, when at work, have you, or have you not, been subjected to: Race discrimination?",Race discrimination
EWCSR2,27g,q27g,"Over the past 12 months, when at work, have you, or have you not, been subjected to: Disability discrimination?",Disability discrimination
EWCSR2,27h,q27h,"Over the past 12 months, when at work, have you, or have you not, been subjected to: Nationality discrimination?",Nationality discrimination
EWCSR2,28,q28,"At your workplace, would you say that men and women have equal opportunities or not?",Gender equality
EWCSR2,29,q29,Is your immediate boss a man or a woman?,Boss gender
EWCSR2,30a,q30a_n,"Over and above any statutory requirements, does your company/employer additionally provide for: Sick child leave?",Sick child leave
EWCSR2,30b,q30b_n,"Over and above any statutory requirements, does your company/employer additionally provide for: Maternity leave?",Maternity leave
